mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950149022,萊爾富便利商店北市虎嘯店,大安區,敦化南路二段174號,萊爾富,,,0,304510.068,2768745.772,www.hilife.com.tw/,Hi-Life Huxiao Branch,0,,,虎嘯里,休閒購物,生活購物,便利商店,,
0950148941,萊爾富便利商店北市中山三店,中山區,中山北路二段65巷13號,萊爾富,,,0,302041.459,2772412.792,www.hilife.com.tw/,Hi-Life Zhongshan 3 Branch,0,,,中山里,休閒購物,生活購物,便利商店,,
0950149045,萊爾富便利商店北市敦化店,松山區,八德路三段12巷51弄2號,萊爾富,,,0,304752.198,2771199.632,www.hilife.com.tw/,Hi-Life Dunhua Branch,0,,,敦化里,休閒購物,生活購物,便利商店,,
0950149046,萊爾富便利商店北市景福店,文山區,景福街58號,萊爾富,,,0,303458.38,2765988.953,www.hilife.com.tw/,Hi-Life Jingfu Branch,0,,,萬隆里,休閒購物,生活購物,便利商店,,
0950149052,萊爾富便利商店北市湖森店,內湖區,瑞光路66巷33號,萊爾富,,,0,307818.234,2773836.037,www.hilife.com.tw/,Hi-Life Husen Branch,0,,,湖元里,休閒購物,生活購物,便利商店,,
0950149079,萊爾富便利商店北市慶泰店,中山區,松江路186之1號,萊爾富,,,0,302934.84,2772369.971,www.hilife.com.tw/,Hi-Life Qingtai Branch,0,,,中吉里,休閒購物,生活購物,便利商店,,
0950149081,萊爾富便利商店北市興隆店,文山區,興隆路二段203巷16號,萊爾富,,,0,304552.685,2766323.294,www.hilife.com.tw/,Hi-Life Xinglong Branch,0,,,興豐里,休閒購物,生活購物,便利商店,,
0950149016,萊爾富便利商店北市松康店,松山區,健康路325巷12弄2號,萊爾富,,,0,306412.532,2772236.62,www.hilife.com.tw/,Hi-Life Songkang Branch,0,,,鵬程里,休閒購物,生活購物,便利商店,,
0950149080,萊爾富便利商店北市興湖店,內湖區,東湖路121號,萊爾富,,,0,311362.694,2773686.861,www.hilife.com.tw/,Hi-Life Xinghu Branch,0,,,東湖里,休閒購物,生活購物,便利商店,,
0950152261,萊爾富便利商店北市士大店,士林區,大東路7號,,,,0,302159.511,2775679.363,,,0,,,,休閒購物,生活購物,便利商店,,
0950152651,萊爾富便利商店,內湖區,江南街30號,,,,0,307435.547,2774697.204,,,0,,,,休閒購物,生活購物,便利商店,,
0950151673,萊爾富便利商店,松山區,八德路三段119號,,,,0,305074.716,2771443.565,,,0,,,,休閒購物,生活購物,便利商店,,
